wavelength photoabsorption photodissociation photoionisation
1.029000e+02 0.000000e+00 0.000000e+00 0.000000e+00
1.030000e+02 5.194832e-29 5.194832e-29 0.000000e+00
1.031000e+02 2.666873e-28 2.666873e-28 0.000000e+00
1.032000e+02 1.295241e-27 1.295241e-27 0.000000e+00
1.033000e+02 5.951367e-27 5.951367e-27 0.000000e+00
1.034000e+02 2.587023e-26 2.587023e-26 0.000000e+00
1.035000e+02 1.063902e-25 1.063902e-25 0.000000e+00
1.036000e+02 4.139237e-25 4.139237e-25 0.000000e+00
1.037000e+02 1.523550e-24 1.523550e-24 0.000000e+00
1.038000e+02 5.305309e-24 5.305309e-24 0.000000e+00
1.039000e+02 1.747762e-23 1.747762e-23 0.000000e+00
1.040000e+02 5.447177e-23 5.447177e-23 0.000000e+00
1.041000e+02 1.606121e-22 1.606121e-22 0.000000e+00
1.042000e+02 4.480254e-22 4.480254e-22 0.000000e+00
1.043000e+02 1.182346e-21 1.182346e-21 0.000000e+00
1.044000e+02 2.951918e-21 2.951918e-21 0.000000e+00
1.045000e+02 6.972386e-21 6.972386e-21 0.000000e+00
1.046000e+02 1.558031e-20 1.558031e-20 0.000000e+00
1.047000e+02 3.293735e-20 3.293735e-20 0.000000e+00
1.048000e+02 6.587469e-20 6.587469e-20 0.000000e+00
1.049000e+02 1.246425e-19 1.246425e-19 0.000000e+00
1.050000e+02 2.231164e-19 2.231164e-19 0.000000e+00
1.051000e+02 3.778455e-19 3.778455e-19 0.000000e+00
1.052000e+02 6.053612e-19 6.053612e-19 0.000000e+00
1.053000e+02 9.175560e-19 9.175560e-19 0.000000e+00
1.054000e+02 1.315734e-18 1.315734e-18 0.000000e+00
1.055000e+02 1.784931e-18 1.784931e-18 0.000000e+00
1.056000e+02 2.290826e-18 2.290826e-18 0.000000e+00
1.057000e+02 2.781510e-18 2.781510e-18 0.000000e+00
1.058000e+02 3.195116e-18 3.195116e-18 0.000000e+00
1.059000e+02 3.472244e-18 3.472244e-18 0.000000e+00
1.060000e+02 3.569862e-18 3.569862e-18 0.000000e+00
1.061000e+02 3.472244e-18 3.472244e-18 0.000000e+00
1.062000e+02 3.195116e-18 3.195116e-18 0.000000e+00
1.063000e+02 2.781510e-18 2.781510e-18 0.000000e+00
1.064000e+02 2.290826e-18 2.290826e-18 0.000000e+00
1.065000e+02 1.784931e-18 1.784931e-18 0.000000e+00
1.066000e+02 1.315734e-18 1.315734e-18 0.000000e+00
1.067000e+02 9.175560e-19 9.175560e-19 0.000000e+00
1.068000e+02 6.053612e-19 6.053612e-19 0.000000e+00
1.069000e+02 3.778455e-19 3.778455e-19 0.000000e+00
1.070000e+02 2.231164e-19 2.231164e-19 0.000000e+00
1.071000e+02 1.246425e-19 1.246425e-19 0.000000e+00
1.072000e+02 6.587469e-20 6.587469e-20 0.000000e+00
1.073000e+02 3.293735e-20 3.293735e-20 0.000000e+00
1.074000e+02 1.558031e-20 1.558031e-20 0.000000e+00
1.075000e+02 6.972386e-21 6.972386e-21 0.000000e+00
1.076000e+02 2.951918e-21 2.951918e-21 0.000000e+00
1.077000e+02 1.182346e-21 1.182346e-21 0.000000e+00
1.078000e+02 4.480254e-22 4.480254e-22 0.000000e+00
1.079000e+02 1.606121e-22 1.606121e-22 0.000000e+00
1.080000e+02 5.447177e-23 5.447177e-23 0.000000e+00
1.081000e+02 1.747762e-23 1.747762e-23 0.000000e+00
1.082000e+02 5.305309e-24 5.305309e-24 0.000000e+00
1.083000e+02 1.523550e-24 1.523550e-24 0.000000e+00
1.084000e+02 4.139237e-25 4.139237e-25 0.000000e+00
1.085000e+02 1.063902e-25 1.063902e-25 0.000000e+00
1.086000e+02 2.587023e-26 2.587023e-26 0.000000e+00
1.087000e+02 5.951367e-27 5.951367e-27 0.000000e+00
1.088000e+02 1.295241e-27 1.295241e-27 0.000000e+00
1.089000e+02 2.666873e-28 2.666873e-28 0.000000e+00
1.090000e+02 1.333436e-28 1.333436e-28 0.000000e+00
1.091000e+02 0.000000e+00 0.000000e+00 0.000000e+00
